DryBulb,DewPoint,Hour,Weekday,IsWorkingDay,P_W_S_hour_l,P_D_S_hour_l,prev24HrAveLoad,target_variable
37,25,1,5,0,12230,12230,509.5833333,12230
37,25,2,5,0,11534,11534,990.1666667,11534
39,24,3,5,0,11038,11038,1450.083333,11038
38,22,4,5,0,10777,10777,1899.125,10777
37,20,5,5,0,10764,10764,2347.625,10764
36,19,6,5,0,11032,11032,2807.291667,11032
35,20,7,5,0,11508,11508,3286.791667,11508
35,20,8,5,0,11806,11806,3778.708333,11806
35,21,9,5,0,12457,12457,4297.75,12457
37,21,10,5,0,13214,13214,4848.333333,13214
38,22,11,5,0,13783,13783,5422.625,13783
39,22,12,5,0,14156,14156,6012.458333,14156
40,22,13,5,0,14182,14182,6603.375,14182
40,22,14,5,0,13988,13988,7186.208333,13988
40,22,15,5,0,13727,13727,7758.166667,13727
40,22,16,5,0,13856,13856,8335.5,13856
38,22,17,5,0,15215,15215,8969.458333,15215
36,22,18,5,0,16593,16593,9660.833333,16593
35,22,19,5,0,16483,16483,10347.625,16483
35,22,20,5,0,16135,16135,11019.91667,16135
34,22,21,5,0,15681,15681,11673.29167,15681
33,22,22,5,0,14872,14872,12292.95833,14872
32,23,23,5,0,13769,13769,12866.66667,13769
31,23,24,5,0,12640,12640,13393.33333,12640
30,22,1,6,1,11728,12230,13372.41667,11728
29,22,2,6,1,11275,11534,13361.625,11275
28,22,3,6,1,11083,11038,13363.5,11083
28,22,4,6,1,11071,10777,13375.75,11071
28,23,5,6,1,11304,10764,13398.25,11304
29,24,6,6,1,12053,11032,13440.79167,12053
30,25,7,6,1,13372,11508,13518.45833,13372
30,25,8,6,1,14656,11806,13637.20833,14656
30,26,9,6,1,15658,12457,13770.58333,15658
30,27,10,6,1,16472,13214,13906.33333,16472
31,29,11,6,1,16889,13783,14035.75,16889
31,30,12,6,1,17015,14156,14154.875,17015
32,30,13,6,1,16869,14182,14266.83333,16869
33,31,14,6,1,16595,13988,14375.45833,16595
33,31,15,6,1,16387,13727,14486.29167,16387
33,31,16,6,1,16414,13856,14592.875,16414
33,32,17,6,1,17327,15215,14680.875,17327
33,32,18,6,1,18164,16593,14746.33333,18164
34,32,19,6,1,17766,16483,14799.79167,17766
33,32,20,6,1,17144,16135,14841.83333,17144
33,32,21,6,1,16461,15681,14874.33333,16461
32,31,22,6,1,15562,14872,14903.08333,15562
32,31,23,6,1,14357,13769,14927.58333,14357
32,31,24,6,1,13086,12640,14946.16667,13086
33,32,1,7,0,12017,11728,14958.20833,12017
33,32,2,7,0,11362,11275,14961.83333,11362
33,31,3,7,0,11030,11083,14959.625,11030
33,32,4,7,0,10886,11071,14951.91667,10886
33,32,5,7,0,10929,11304,14936.29167,10929
33,32,6,7,0,11279,12053,14904.04167,11279
33,32,7,7,0,11965,13372,14845.41667,11965
33,33,8,7,0,12862,14656,14770.66667,12862
33,33,9,7,0,13957,15658,14699.79167,13957
34,33,10,7,0,14980,16472,14637.625,14980
35,34,11,7,0,15575,16889,14582.875,15575
35,34,12,7,0,15730,17015,14529.33333,15730
36,35,13,7,0,15580,16869,14475.625,15580
38,37,14,7,0,15275,16595,14420.625,15275
39,38,15,7,0,14963,16387,14361.29167,14963
40,39,16,7,0,14902,16414,14298.29167,14902
40,39,17,7,0,15892,17327,14238.5,15892
40,40,18,7,0,16778,18164,14180.75,16778
41,40,19,7,0,16532,17766,14129.33333,16532
41,40,20,7,0,15977,17144,14080.70833,15977
40,39,21,7,0,15454,16461,14038.75,15454
40,40,22,7,0,14660,15562,14001.16667,14660
41,40,23,7,0,13588,14357,13969.125,13588
41,40,24,7,0,12416,13086,13941.20833,12416
42,41,1,1,0,11354,12017,13913.58333,11354
42,41,2,1,0,10710,11362,13886.41667,10710
42,41,3,1,0,10350,11030,13858.08333,10350
43,41,4,1,0,10175,10886,13828.45833,10175
43,41,5,1,0,10148,10929,13795.91667,10148
43,40,6,1,0,10365,11279,13757.83333,10365
43,40,7,1,0,10885,11965,13712.83333,10885
43,39,8,1,0,11406,12862,13652.16667,11406
43,38,9,1,0,12297,13957,13583,12297
44,40,10,1,0,13204,14980,13509,13204
46,38,11,1,0,13910,15575,13439.625,13910
46,37,12,1,0,14310,15730,13380.45833,14310
46,35,13,1,0,14559,15580,13337.91667,14559
45,34,14,1,0,14582,15275,13309.04167,14582
43,34,15,1,0,14629,14963,13295.125,14629
41,35,16,1,0,14856,14902,13293.20833,14856
40,34,17,1,0,16003,15892,13297.83333,16003
39,33,18,1,0,17048,16778,13309.08333,17048
39,33,19,1,0,16896,16532,13324.25,16896
38,32,20,1,0,16427,15977,13343,16427
37,32,21,1,0,15797,15454,13357.29167,15797
37,32,22,1,0,14734,14660,13360.375,14734
36,31,23,1,0,13403,13588,13352.66667,13403
35,31,24,1,0,12263,12416,13346.29167,12263
34,30,1,2,1,11444,11354,13350.04167,11444
33,29,2,2,1,11045,10710,13364,11045
32,29,3,2,1,10895,10350,13386.70833,10895
32,29,4,2,1,10908,10175,13417.25,10908
31,29,5,2,1,11310,10148,13465.66667,11310
31,29,6,2,1,12582,10365,13558.04167,12582
31,28,7,2,1,14895,10885,13725.125,14895
31,29,8,2,1,16562,11406,13939.95833,16562
31,28,9,2,1,16988,12297,14135.41667,16988
31,28,10,2,1,17324,13204,14307.08333,17324
31,28,11,2,1,17618,13910,14461.58333,17618
32,28,12,2,1,17778,14310,14606.08333,17778
31,29,13,2,1,17734,14559,14738.375,17734
31,29,14,2,1,17732,14582,14869.625,17732
32,29,15,2,1,17607,14629,14993.70833,17607
32,30,16,2,1,17800,14856,15116.375,17800
32,30,17,2,1,18840,16003,15234.58333,18840
32,30,18,2,1,19579,17048,15340.04167,19579
32,30,19,2,1,19319,16896,15441,19319
31,30,20,2,1,18725,16427,15536.75,18725
31,30,21,2,1,17865,15797,15622.91667,17865
31,30,22,2,1,16581,14734,15699.875,16581
31,30,23,2,1,14903,13403,15762.375,14903
31,29,24,2,1,13429,12263,15810.95833,13429
31,29,1,3,1,12496,11444,15854.79167,12496
30,28,2,3,1,12000,11045,15894.58333,12000
30,26,3,3,1,11781,10895,15931.5,11781
29,24,4,3,1,11788,10908,15968.16667,11788
29,23,5,3,1,12145,11310,16002.95833,12145
28,22,6,3,1,13354,12582,16035.125,13354
28,21,7,3,1,15630,14895,16065.75,15630
27,20,8,3,1,16950,16562,16081.91667,16950
27,21,9,3,1,17031,16988,16083.70833,17031
28,21,10,3,1,17043,17324,16072,17043
29,20,11,3,1,17261,17618,16057.125,17261
30,21,12,3,1,17223,17778,16034,17223
31,21,13,3,1,16957,17734,16001.625,16957
32,20,14,3,1,16846,17732,15964.70833,16846
33,19,15,3,1,16675,17607,15925.875,16675
32,19,16,3,1,16888,17800,15887.875,16888
31,19,17,3,1,18068,18840,15855.70833,18068
30,18,18,3,1,19548,19579,15854.41667,19548
28,20,19,3,1,19527,19319,15863.08333,19527
26,17,20,3,1,19180,18725,15882.04167,19180
24,10,21,3,1,18572,17865,15911.5,18572
22,9,22,3,1,17371,16581,15944.41667,17371
21,8,23,3,1,15754,14903,15979.875,15754
19,6,24,3,1,14315,13429,16016.79167,14315
18,5,1,4,1,13415,12496,16055.08333,13415
17,5,2,4,1,12990,12000,16096.33333,12990
16,4,3,4,1,12832,11781,16140.125,12832
16,4,4,4,1,12866,11788,16185.04167,12866
15,4,5,4,1,13233,12145,16230.375,13233
15,4,6,4,1,14495,13354,16277.91667,14495
14,4,7,4,1,16855,15630,16328.95833,16855
14,4,8,4,1,18233,16950,16382.41667,18233
14,3,9,4,1,18421,17031,16440.33333,18421
16,2,10,4,1,18417,17043,16497.58333,18417
17,2,11,4,1,18532,17261,16550.54167,18532
19,2,12,4,1,18503,17223,16603.875,18503
20,2,13,4,1,18356,16957,16662.16667,18356
19,2,14,4,1,18302,16846,16722.83333,18302
19,5,15,4,1,18205,16675,16786.58333,18205
20,4,16,4,1,18326,16888,16846.5,18326
19,5,17,4,1,19397,18068,16901.875,19397
18,5,18,4,1,20786,19548,16953.45833,20786
18,5,19,4,1,20668,19527,17001,20668
18,5,20,4,1,20206,19180,17043.75,20206
18,5,21,4,1,19522,18572,17083.33333,19522
17,4,22,4,1,18295,17371,17121.83333,18295
17,4,23,4,1,16598,15754,17157,16598
16,3,24,4,1,15138,14315,17191.29167,15138
15,0,1,5,1,12230,13415,17223.41667,14186
